Country Name,Country Code,Series,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Austria,AUT,Duration of compulsory education (years),SE.COM.DURS,9,9,10,10,10,10,10,10,13,13
Austria,AUT,"Adjusted net enrolment rate, one year before the official primary entry age, adjusted gender parity index (GPIA)",UIS.NERA.AGM1.GPIA.CP,1.01842,1.00217,1.01506,1.0126,1.01968,1.00475,1.04118,1.01901,0.99993,1.00386
Austria,AUT,"Adjusted net enrolment rate, one year before the official primary entry age, both sexes (%)",UIS.NERA.AGM1,95.2851,96.94502,98.07005,97.6183,95.97958,97.33238,97.0963,99.02176,99.99639,99.80109
Austria,AUT,"Adjusted net enrolment rate, one year before the official primary entry age, female (%)",UIS.NERA.AGM1.F,96.19308,97.05288,98.83275,98.25286,96.95794,97.57013,99.19459,100,99.99256,100
Austria,AUT,"Adjusted net enrolment rate, one year before the official primary entry age, male (%)",UIS.NERA.AGM1.M,94.42148,96.84246,97.34474,97.01463,95.04943,97.10672,95.10985,98.09853,100,99.61428
Austria,AUT,Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number),UIS.ADMI.GRADE2OR3PRIM.MAT,,,,,,,,,,0
Austria,AUT,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),UIS.ADMI.GRADE2OR3PRIM.READ,,,,,,,,,,0
Austria,AUT,Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number),UIS.ADMI.ENDOFLOWERSEC.MAT,,,,,,,,,,1
Austria,AUT,Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number),UIS.ADMI.ENDOFLOWERSEC.READ,,,,,,,,,,1
Austria,AUT,Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),UIS.ADMI.ENDOFPRIM.MAT,,,,,,,,,,1
Austria,AUT,Administration of a nationally-representative learning assessment at the end of primary in reading (number),UIS.ADMI.ENDOFPRIM.READ,,,,,,,,,,1
Austria,AUT,End month of the academic school year (pre-primary to post-secondary non-tertiary education),UIS.YR.END.MON.01T5,6,6,6,6,6,6,6,6,6,6
Austria,AUT,End month of the academic school year (tertiary education),UIS.YR.END.MON.6T8,9,9,9,9,6,6,6,6,6,6
Austria,AUT,End of the academic school year (pre-primary to post-secondary non tertiary education),UIS.YR.END.01T5,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Austria,AUT,End of the academic school year (tertiary education),UIS.YR.END.6T8,2009,2010,2010,2012,2013,2014,2015,2016,2017,2018
Austria,AUT,"Enrolment in early childhood education, both sexes (number)",UIS.E.0.T,,,,,274059.5,281712,289858,301390.5,308125.83333,314328.5
Austria,AUT,"Enrolment in early childhood education, female (number)",UIS.E.0.F,,,,,133104,136543.5,142866.5,145862,148591.5,151744.5
Austria,AUT,"Enrolment in early childhood education, male (number)",UIS.E.0.M,,,,,140955.5,145168.5,146991.5,155528.5,159534.33333,162584
Austria,AUT,"Enrolment in lower secondary education, both sexes (number)",UIS.E.2,372099,360794,352576,342708,336660,334200.83333,333535.16667,336392.33333,340155.83333,341251
Austria,AUT,"Enrolment in lower secondary education, female (number)",UIS.E.2.F,180836,175652,171497,166487,163955,162292.5,162234.5,163390,164612.33333,165707.16667
Austria,AUT,"Enrolment in lower secondary education, male (number)",UIS.E.2.M,191263,185142,181079,176221,172705,171908.33333,171300.66667,173002.33333,175543.5,175543.83333
Austria,AUT,"Enrolment in post-secondary non-tertiary education, both sexes (number)",UIS.E.4,66087,66078,62421,62052,19826.66667,20130.93333,20011.21667,19834.01786,19252.84286,17398.28572
Austria,AUT,"Enrolment in post-secondary non-tertiary education, female (number)",UIS.E.4.F,41115,41529,39107,38883,15804.5,15969.78333,15948.9,15756.18452,15268.30952,13699.61905
Austria,AUT,"Enrolment in post-secondary non-tertiary education, male (number)",UIS.E.4.M,24972,24549,23314,23169,4022.16667,4161.15,4062.31667,4077.83333,3984.53333,3698.66667
Austria,AUT,"Enrolment in pre-primary education, both sexes (number)",SE.PRE.ENRL,233533,240230,239597,245529,237336.5,239904,245251,251839.5,255874.83333,257226.5
Austria,AUT,"Enrolment in pre-primary education, female (number)",SE.PRE.ENRL.FE,114364,116811,116627,119021,115268,116257.5,120305.5,121913,123358.5,123963.5
Austria,AUT,"Enrolment in pre-primary education, male (number)",UIS.E.02.M,119169,123419,122970,126508,122068.5,123646.5,124945.5,129926.5,132516.33333,133263
Austria,AUT,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,331565,328015,326351,326955,327187,327246.83333,327816.83333,329031.5,334933.16667,339021.83333
Austria,AUT,"Enrolment in primary education, female (number)",SE.PRM.ENRL.FE,160723,158826,158281,158787,158752,159122.33333,159037.33333,159728.5,162463.5,163950.33333
