Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Austria,AUT,Access to Clean Fuels and Technologies for cooking (% of total population),2.1_ACCESS.CFT.TOT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Austria,AUT,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Austria,AUT,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Austria,AUT,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Austria,AUT,Energy intensity level of primary energy (MJ/2011 USD PPP),6.1_PRIMARY.ENERGY.INTENSITY,3.86861902978625,3.8335576127966497,3.76353648391696,3.94779679994556,3.729968115564,3.68553604791994,3.7261385434034495,3.555638113601141,3.6083767079934495,
Austria,AUT,Renewable electricity output (GWh),4.1.2_REN.ELECTRICITY.OUTPUT,43290.0,44674.0,47177.0,44980.0,40870.0,51209.0,50365.0,49944.0,47243.0,
Austria,AUT,Renewable electricity share of total electricity output (%),4.1_SHARE.RE.IN.ELECTRICITY,68.6870289567632,69.2308884377567,71.1396947946197,66.2113227544381,65.6314234326824,74.5291806141755,78.0247869868319,81.0568683458842,76.4907792691417,
Austria,AUT,Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,301383.0,312020.0,314198.5,332971.5,323991.8,349194.5,373423.7,363442.2,362355.8,
Austria,AUT,Renewable energy share of TFEC (%),2.1_SHARE.TOTAL.RE.IN.TFEC,28.6009320732652,29.3561662009359,30.514388987415103,30.6592165744001,30.9885937243849,33.4265374778104,34.6806004056175,35.3942733418568,34.3949917477854,
Austria,AUT,Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,62612.0,64540.0,66315.0,67933.0,62274.0,68726.0,64515.0,61595.0,61763.0,
Austria,AUT,Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,1053752.371524,1062877.209048,1029673.247364,1086040.470708,1045519.53174,1044662.49378,1076750.96634,1026838.993104,1053513.263376,
France,FRA,Access to Clean Fuels and Technologies for cooking (% of total population),2.1_ACCESS.CFT.TOT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
France,FRA,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
France,FRA,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
France,FRA,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
France,FRA,Energy intensity level of primary energy (MJ/2011 USD PPP),6.1_PRIMARY.ENERGY.INTENSITY,4.57793635586042,4.58910194670539,4.524647529585692,4.57721334867775,4.31528298948888,4.31659316435746,4.31050153437464,4.08202291575321,4.10185369917219,
France,FRA,Renewable electricity output (GWh),4.1.2_REN.ELECTRICITY.OUTPUT,65909.0,73826.0,69661.0,78195.0,64399.0,83036.0,96672.0,91807.0,89357.0,
France,FRA,Renewable electricity share of total electricity output (%),4.1_SHARE.RE.IN.ELECTRICITY,11.6909263128767,12.9792089338645,13.127163567084901,13.8573593131131,11.574747247809501,14.8273540719154,17.045286239217994,16.4559049430271,15.8576666299907,
France,FRA,Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,571542.2,649586.9,669329.4,731191.6,617406.4,725254.3,808277.4,736346.1,760300.4,
France,FRA,Renewable energy share of TFEC (%),2.1_SHARE.TOTAL.RE.IN.TFEC,9.32132831522475,10.473230358883301,11.222006213612099,11.845873304769402,10.913690435543499,12.372958762063,13.4773744348411,13.3470246384899,13.4992623166677,
France,FRA,Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,563762.0,568802.0,530663.0,564285.0,556374.0,560826.0,567157.0,556979.0,563494.0,
France,FRA,Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,6131553.150708,6202354.743864,5964436.191348,6172542.801936,5657173.470756,5861607.671592,5997291.266988,5516930.701368,5632162.574256,
Poland,POL,Access to Clean Fuels and Technologies for cooking (% of total population),2.1_ACCESS.CFT.TOT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Poland,POL,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Poland,POL,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Poland,POL,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Poland,POL,Energy intensity level of primary energy (MJ/2011 USD PPP),6.1_PRIMARY.ENERGY.INTENSITY,5.465546823448467,5.33784644755746,5.005002724094191,5.15166713645809,4.93306577045364,4.69825297167904,4.63514350007351,4.2543095843082295,4.13568520275175,
Poland,POL,Renewable electricity output (GWh),4.1.2_REN.ELECTRICITY.OUTPUT,5430.0,6608.0,8678.0,10888.0,13137.0,16879.0,17067.0,19843.0,22683.0,
Poland,POL,Renewable electricity share of total electricity output (%),4.1_SHARE.RE.IN.ELECTRICITY,3.4202354482524,4.2712171158942525,5.74241832703595,6.931102750669999,8.053678931816231,10.437756244164,10.405311482605999,12.518611048022802,13.8023986710559,
Poland,POL,Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,182391.7,204127.2,223113.7,257873.1,276416.4,287378.6,295061.8,290342.5,302285.7,
Poland,POL,Renewable energy share of TFEC (%),2.1_SHARE.TOTAL.RE.IN.TFEC,7.27576452403753,8.01054019560925,8.84206269227445,9.488623858177133,10.4378791791655,10.915143247271097,11.4133798111271,11.569315527574801,11.9114882087605,
Poland,POL,Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,158761.0,154710.0,151121.0,157089.0,163118.0,161711.0,164022.0,158508.0,164341.0,
Poland,POL,Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,2506838.96376,2548232.6411880003,2523321.851076,2717708.1087240004,2648204.632908,2632843.138104,2585227.205988,2509590.989268,2537766.018,
Romania,ROU,Access to Clean Fuels and Technologies for cooking (% of total population),2.1_ACCESS.CFT.TOT,77.33,78.59,79.71,80.96,82.04,83.01,83.73,84.6,85.33,85.88
Romania,ROU,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Romania,ROU,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Romania,ROU,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Romania,ROU,Energy intensity level of primary energy (MJ/2011 USD PPP),6.1_PRIMARY.ENERGY.INTENSITY,4.73741391832696,4.3518548650780495,4.12285563870678,4.1737950611786605,4.22159786780123,4.0929298495590185,3.6091068309920495,3.483,3.52,
Romania,ROU,Renewable electricity output (GWh),4.1.2_REN.ELECTRICITY.OUTPUT,16004.0,17224.0,15553.0,20300.0,16315.0,14926.0,20149.0,27128.0,26202.0,
Romania,ROU,Renewable electricity share of total electricity output (%),4.1_SHARE.RE.IN.ELECTRICITY,25.949767321194,26.5164111090584,26.9357995185397,33.4878503439516,26.3149405635575,25.3955830809542,34.4215525488588,41.60608570289261,39.7469736961864,
Romania,ROU,Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,175916.3,204146.4,201245.8,220239.0,194702.7,202338.2,206941.3,216582.3,211769.1,
Romania,ROU,Renewable energy share of TFEC (%),2.1_SHARE.TOTAL.RE.IN.TFEC,18.1794263238613,20.3889961714965,22.1822696766077,24.0957070447707,21.1127362058663,21.5509591718079,23.0902321977293,24.3318800956785,23.697794031624497,
Romania,ROU,Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,61673.0,64956.0,57741.0,60619.0,61999.0,58774.0,58536.0,65202.0,65922.0,
Romania,ROU,Total final energy consumption (TFEC) (TJ),1.1_TOTAL.FINAL.ENERGY.CONSUM,967666.948704,1001257.72884,907237.189584,914017.58658,922204.957716,938882.5731,896228.752608,890117.406252,893623.68378,
Slovak Republic,SVK,Access to Clean Fuels and Technologies for cooking (% of total population),2.1_ACCESS.CFT.TOT,96.06,96.47,96.71,96.7,96.78,96.81,96.79,96.81,96.72,96.58
Slovak Republic,SVK,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Slovak Republic,SVK,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Slovak Republic,SVK,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Slovak Republic,SVK,Energy intensity level of primary energy (MJ/2011 USD PPP),6.1_PRIMARY.ENERGY.INTENSITY,5.93437273491047,5.76599804271711,5.57280185457451,5.65017478774242,5.34665325479926,5.0567225440198085,5.0722185519576914,4.52408944454477,4.47855276589316,
Slovak Republic,SVK,Renewable electricity output (GWh),4.1.2_REN.ELECTRICITY.OUTPUT,4934.0,4563.0,4911.0,5940.0,4999.0,5474.0,6353.0,6229.0,6040.0,
